2637, 慧洋-KY, 30.53, 24.1, 5.06, 0.66, 2017-10-27
2636, 台驊投控, 22.59, 16.76, 4.92, 1.2, 2017-10-27
2608, 大榮, 39.55, 15.73, 4.01, 2.31, 2017-10-27
2615, 萬海, 17.9, 191.48, 3.91, 1.2, 2017-10-27
2618, 長榮航, 15.12, 25.39, 3.84, 1.14, 2017-10-27
2634, 漢翔, 36.05, 18.66, 3.8, 2.7, 2017-10-27
2605, 新興, 21.96, 21.96, 3.56, 0.77, 2017-10-27
2610, 華航, 9.7, 45.86, 3.11, 0.93, 2017-05-12
2633, 台灣高鐵, 23.43, 25.63, 2.64, 2.15, 2017-10-27
2607, 榮運, 14.05, 19.28, 2.49, 0.7, 2017-10-27
2606, 裕民, 36.23, 82.36, 2.07, 1.41, 2017-10-27
2642, 宅配通, 26.41, 28.77, 1.85, 1.53, 2017-10-27
2613, 中櫃, 13.43, 41.66, 1.8, 0.47, 2017-10-27
2612, 中航, 29.99, 63.04, 0.67, 0.58, 2017-05-04
2603, 長榮海, 19.47, 77.89, 0.0, 1.29, 2017-10-27
5607, 遠雄港, 14.34, 12.94, 0.0, 0.71, 2017-10-27
